name,air_temp,skin_temp,calories,gsr,heart_rate,steps
636,89.7,92.3,1.2,0.559,43,0
637,89.3,92.3,1.0,0.557,46,0
638,88.8,92.2,1.0,0.547,46,0
639,88.4,92.0,1.0,0.541,42,0
640,88.2,91.8,1.1,0.531,46,0
641,87.9,91.6,1.0,0.54,49,0
642,87.5,91.4,1.0,0.541,47,0
643,87.3,91.2,1.0,0.522,47,0
644,87.0,91.1,1.0,0.533,46,0
645,86.9,91.0,1.0,0.526,47,0
646,86.6,90.7,0.9,0.514,47,0
647,86.5,90.7,0.9,0.553,47,0
648,86.5,90.5,0.9,0.508,48,0
649,86.1,90.4,1.0,0.538,47,0
650,86.0,90.3,1.0,0.515,45,0
651,86.0,90.3,0.9,0.544,45,0
652,86.0,90.0,1.0,0.55,45,0
653,86.0,90.0,0.9,0.512,47,0
654,86.0,90.0,1.0,0.533,47,0
655,85.7,90.0,0.9,0.541,47,0
656,85.6,89.8,1.0,0.539,49,0
657,85.6,89.8,0.9,0.538,49,0
658,85.6,89.8,1.0,0.544,47,0
659,85.6,89.8,0.9,0.518,47,0
660,85.6,89.7,1.0,0.536,46,0
661,85.6,89.6,0.8,0.536,46,0
662,85.6,89.6,0.9,0.524,46,0
663,85.6,89.6,1.0,0.537,46,0
664,85.6,89.6,0.9,0.534,46,0
665,85.6,89.6,0.9,0.543,47,0
666,85.6,89.5,1.1,0.541,47,0
667,85.6,89.4,0.9,0.543,47,0
668,85.6,89.4,0.9,0.55,47,0
669,85.2,89.4,1.3,0.157,49,0
670,85.4,89.4,1.0,0.133,40,0
671,85.6,89.4,1.1,0.144,39,0
672,85.9,89.6,1.0,0.145,40,0
673,86.3,89.6,1.1,0.149,41,0
674,86.5,89.8,1.1,0.152,43,0
675,86.8,90.0,1.0,0.158,42,0
676,86.9,90.0,1.1,0.161,43,0
677,87.2,90.3,1.0,0.162,42,0
678,87.3,90.3,1.1,0.162,44,0
679,87.7,90.5,1.0,0.166,43,0
680,87.8,90.7,1.0,0.166,46,0
681,88.1,90.7,1.0,0.166,45,0
682,88.2,90.9,1.0,0.166,45,0
683,88.6,91.0,1.1,0.168,45,0
684,88.7,91.2,1.1,0.163,45,0
685,88.7,91.2,1.0,0.166,45,0
686,89.0,91.4,1.1,0.165,45,0
687,89.2,91.4,1.1,0.167,49,0
688,89.2,91.5,1.0,0.165,47,0
689,89.5,91.6,1.1,0.17,45,0
690,89.6,91.6,1.0,0.168,46,0
691,89.6,91.8,1.1,0.177,47,0
692,89.6,91.9,1.1,0.193,57,0
693,89.0,91.9,1.0,0.192,43,0
694,88.4,91.8,1.0,0.188,45,0
695,87.9,91.6,0.8,0.194,44,0
696,87.5,91.4,1.1,0.194,43,0
697,87.3,91.3,1.0,0.193,42,0
698,87.0,91.2,1.0,0.198,45,0
699,86.9,91.0,1.1,0.191,45,0
700,86.6,90.9,1.0,0.182,45,0
701,86.5,90.7,1.1,0.193,44,0
702,86.5,90.6,1.0,0.201,46,0
703,86.1,90.5,0.8,0.195,46,0
704,86.0,90.3,1.0,0.197,47,0
705,86.0,90.3,1.0,0.192,49,0
706,86.0,90.2,1.0,0.197,49,0
707,86.0,90.0,1.1,0.19,48,0
708,86.0,90.0,1.0,0.198,50,0
709,86.0,89.8,1.4,0.44,48,0
710,86.0,89.8,1.1,0.612,44,0
