timestamp,heartrate,steps,calories,gsr,skin_temp,air_temp
44,0,1.0,0.653,89.1,84.7,
43,0,1.0,0.654,89.1,84.7,
43,0,0.9,0.657,89.1,84.7,
55,0,1.3,0.396,89.1,84.7,
39,0,1.1,0.31,89.0,84.7,
40,0,1.0,0.325,88.9,84.7,
51,0,1.4,0.529,88.9,84.7,
64,0,1.5,0.474,89.0,85.0,
56,0,1.3,0.0678,88.9,85.1,
44,0,1.1,0.11,88.9,85.1,
42,0,0.9,0.127,88.9,85.4,
41,0,0.9,0.138,88.9,85.9,
41,0,1.1,0.173,89.0,86.0,
41,0,1.0,0.188,89.1,86.0,
41,0,1.1,0.195,89.2,86.3,
42,0,1.1,0.196,89.4,86.5,
42,0,1.0,0.19,89.4,86.5,
43,0,1.2,0.19,89.6,86.5,
48,0,1.1,0.165,89.6,86.5,
41,0,1.1,0.348,89.8,86.8,
39,0,1.1,0.481,90.0,86.9,
40,0,1.1,0.476,90.3,87.2,
42,0,1.0,0.475,90.4,87.7,
42,0,1.1,0.477,90.6,88.1,
